show_id,title,director,country,release_year,rating,duration,listed_in,description,type,date_added
292118,Beavis and Butthead Do America                                                          ,Mike Judge                               ,United States                                 ,1996,PG-13   ,1h21     ,"Comedies, Cult Movies                                                          ",after realizing that their boob tube is gone beavis and butthead set off on an expedition that takes them from las vegas to the nations capital                                                 ,Movie  ,2019-11-20
506464,The First Wives Club                                                                    ,Hugh WIlson                              ,United States                                 ,1996,PG      ,1h43     ,Comedies                                                                       ,following a friends suicide after her husband dumps her for a younger model three women plot payback against their twotiming exes                                                               ,Movie  ,2019-11-20
569355,Hamburger Hill                                                                          ,John Irvin                               ,United States                                 ,1987,R       ,1h50     ,"Action & Adventure, Dramas                                                     ",the vietnam wars horrors come brutally to life through the eyes of american soldiers trying to take a heavily fortified hill under vietcong control                                             ,Movie  ,2019-11-23
1181661,The Rainmaker                                                                           ,Francis Ford Coppola                     ,"United States, Germany                        ",1997,PG-13   ,2h16     ,"Dramas, Thrillers                                                              ",a young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company                                                            ,Movie  ,2019-11-20
28631236,Superstar                                                                               ,Bruce McCulloch                          ,United States                                 ,1999,PG-13   ,1h22     ,Comedies                                                                       ,a socially awkward catholic schoolgirl vows to win a dreamy classmates affections by taking first prize at an upcoming talent show                                                              ,Movie  ,2019-11-20
60003508,The Gift                                                                                ,Sam Raimi                                ,United States                                 ,2000,R       ,1h52     ,"Dramas, Thrillers                                                              ",when the authorities find a drowned womans body a smalltown psychic starts having visions of who committed the murder                                                                           ,Movie  ,2019-11-20
60004083,The Longest Yard                                                                        ,Robert Aldrich                           ,United States                                 ,1974,R       ,2h1      ,"Classic Movies, Comedies, Sports Movies                                        ",washedup professional quarterback paul crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards                                             ,Movie  ,2019-11-20
60004471,The Prestige                                                                            ,Ivan Reitman                             ,United States                                 ,2019,PG-13   ,1h42     ,"Comedies, Sci-Fi & Fantasy                                                     ",after two community college geology professors discover microscopic alien lifeforms on a meteorite the military and government become involved                                                  ,Movie  ,2019-11-20
60011552,Whats Eating Gilbert Grape                                                              ,Lasse Hallström                          ,United States                                 ,1993,PG-13   ,1h58     ,"Classic Movies, Dramas, Independent Movies                                     ",in a backwater iowa town young gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life                                               ,Movie  ,2019-11-20
60020826,The Score                                                                               ,Frank Oz                                 ,"Germany, Canada, United States                ",2001,R       ,2h4      ,"Dramas, Thrillers                                                              ",readytoretire safecracker nick flamboyant fence max and talented but volatile thief jackie team up to rob the montreal customs house                                                            ,Movie  ,2019-11-28
60020948,Charlottes Web                                                                          ,"Charles A. Nichols, Iwao Takamoto        ",United States                                 ,1973,G       ,1h34     ,"Children & Family Movies, Classic Movies                                       ",follow the adventures of wilbur the pig templeton the rat and charlotte the spider in this animated musical version of eb whites timeless story                                                 ,Movie  ,2019-11-23
60022413,Eye for an Eye                                                                          ,John Schlesinger                         ,United States                                 ,1996,R       ,1h41     ,"Dramas, Thrillers                                                              ",grieving mother karen mccann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality                                                       ,Movie  ,2019-11-20
60022502,It Takes Two                                                                            ,Andy Tennant                             ,United States                                 ,2019,PG      ,1h41     ,"Children & Family Movies, Comedies                                             ",the olsen twins put a cute new spin on mark twains classic tale the prince and the pauper playing identical 9yearolds from very different backgrounds                                           ,Movie  ,2019-11-20
60022645,The Time Machine                                                                        ,Simon Wells                              ,"United States, United Arab Emirates           ",2002,PG-13   ,1h36     ,"Action & Adventure, Sci-Fi & Fantasy                                           ",based on the hg wells classic this adventure follows a scientist and inventor whos determined to prove to doubters that time travel is possible                                                 ,Movie  ,2019-11-23
60023606,K19 The Widowmaker                                                                      ,Kathryn Bigelow                          ,"United Kingdom, Germany, Canada, United States",2002,PG-13   ,2h18     ,"Action & Adventure, Dramas                                                     ",on board russias first nuclear ballistic submarine capt vostrikov must race against time to prevent a chernobyllike explosion                                                                   ,Movie  ,2019-11-21
60028294,Popeye                                                                                  ,Robert Altman                            ,United States                                 ,1980,PG      ,1h54     ,"Action & Adventure, Children & Family Movies, Comedies                         ",during a storm that wrecks his ship superstrong sailor popeye washes ashore and winds up rooming at the oyl household where he meets olive                                                      ,Movie  ,2019-11-24
60031884,Once Upon a Time in the West                                                            ,Sergio Leone                             ,"Italy, United States                          ",1968,PG-13   ,2h46     ,"Action & Adventure, Classic Movies, International Movies                       ",in this epic spaghetti western a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his transamerican iron horse                                             ,Movie  ,2019-11-20
70003046,Bebes Kids                                                                              ,Bruce W. Smith                           ,United States                                 ,1992,PG-13   ,1h13     ,Comedies                                                                       ,when ladies man robin meets jamika he falls head over heels but she greets him with four surprises her son and her girlfriend bebes three kids                                                  ,Movie  ,2019-11-20
70039187,Yours Mine and Ours                                                                     ,Raja Gosnell                             ,United States                                 ,2005,PG      ,1h28     ,"Children & Family Movies, Comedies                                             ",when a father of eight and a mother of 10 prepare to wed the couples children attempt to sabotage the union in this remake of a 1968 comedy                                                     ,Movie  ,2019-11-20
70044686,El hoyo                                                                                 ,David Fincher                            ,United States                                 ,2019,R       ,2h38     ,"Cult Movies, Dramas, Thrillers                                                 ",a political cartoonist a crime reporter and a pair of cops investigate san franciscos infamous zodiac killer in this thriller based on a true story                                             ,Movie  ,2019-11-20
70044693,World Trade Center                                                                      ,Oliver Stone                             ,United States                                 ,2006,PG-13   ,2h9      ,"Action & Adventure, Dramas                                                     ",working under treacherous conditions an army of dedicated rescuers struggles to find anyone who survived the world trade centers tragic collapse                                                ,Movie  ,2019-11-20
70053833,Black Snake Moan                                                                        ,Craig Brewer                             ,United States                                 ,2007,R       ,1h56     ,"Dramas, Independent Movies                                                     ",lazarus finds rae beaten and near death and acts as a father figure to help redeem her but before saving anyone lazarus must face his own demons                                                ,Movie  ,2019-11-20
70058022,It Chapter Two                                                                          ,Akiva Schaffer                           ,United States                                 ,2019,PG-13   ,1h28     ,"Comedies, Sports Movies                                                        ",andy samberg stars in this comedy as an accidentprone daredevil whos determined to jump 15 buses on his moped and impress his abusive stepfather                                                ,Movie  ,2019-11-20
70087538,The Love Guru                                                                           ,Marco Schnabel                           ,"United Kingdom, Germany, United States        ",2008,PG-13   ,1h27     ,"Comedies, Sports Movies                                                        ",raised on an ashram in india a selfstyled love guru returns to his native america to settle a romantic rivalry between two pro hockey players                                                   ,Movie  ,2019-11-20
70091304,Mike Birbiglia What I Should Have Said Was Nothing Tales from My Secret Public Journal  ,Desconhecido                             ,United States                                 ,2008,TV-14   ,0h56     ,Stand-Up Comedy                                                                ,mike birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary                                            ,Movie  ,2019-11-22
